,sentence,food,family,romance,indep,competition,approval,health,contact,serenity,rest,order,status,idealism,power,curiosity,honor,belonging,savings,tranquility
0,I began making fish curry for my boyfriend and I.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,I began making fish curry for my boyfriend and I.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,I began making fish curry for my boyfriend and I.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,I decided not to read a recipe since I've made so many in my life.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,I decided not to read a recipe since I've made so many in my life.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,I decided not to read a recipe since I've made so many in my life.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,I let the curry sit before tasting.,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,I let the curry sit before tasting.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"When it was time to taste, I was disgusted.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"When it was time to taste, I was disgusted.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,I accidentally used a whole garlic instead of a whole onion.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,I accidentally used a whole garlic instead of a whole onion.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,He wants to have a girlfriend.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,He wants to have a girlfriend.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,He wants to have a girlfriend.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,One day he meets a nice girl at the grocery store.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,One day he meets a nice girl at the grocery store.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
