,emotion,freq,highly related,all related info
0,happy,4883,"['excited', 'proud', 'relieved', 'satisfied']","[('excited', 349), ('proud', 105), ('relieved', 99), ('satisfied', 83)]"
1,excited,2546,"['happy', 'nervous', 'proud', 'hopeful']","[('happy', 349), ('nervous', 68), ('proud', 35), ('hopeful', 30)]"
2,sad,1815,"['angry', 'disappointed', 'upset', 'scared']","[('angry', 87), ('disappointed', 59), ('upset', 41), ('scared', 28)]"
3,proud,1325,"['happy', 'accomplished', 'excited', 'satisfied']","[('happy', 105), ('accomplished', 39), ('excited', 35), ('satisfied', 16)]"
4,scared,1083,"['nervous', 'worried', 'sad', 'angry']","[('nervous', 63), ('worried', 34), ('sad', 28), ('angry', 23)]"
5,angry,1075,"['sad', 'upset', 'frustrated', 'disappointed']","[('sad', 87), ('upset', 55), ('frustrated', 49), ('disappointed', 38)]"
6,disappointed,979,"['sad', 'angry', 'upset', 'frustrated']","[('sad', 59), ('angry', 38), ('upset', 30), ('frustrated', 19)]"
7,relieved,967,"['happy', 'thankful', 'excited', 'grateful']","[('happy', 99), ('thankful', 16), ('excited', 15), ('grateful', 15)]"
8,nervous,913,"['excited', 'scared', 'anxious', 'worried']","[('excited', 68), ('scared', 63), ('anxious', 39), ('worried', 20)]"
9,annoyed,895,"['angry', 'frustrated', 'upset', 'disappointed']","[('angry', 33), ('frustrated', 21), ('upset', 17), ('disappointed', 16)]"
10,upset,838,"['angry', 'sad', 'disappointed', 'frustrated']","[('angry', 55), ('sad', 41), ('disappointed', 30), ('frustrated', 24)]"
11,surprised,838,"['happy', 'excited', 'scared', 'sad']","[('happy', 79), ('excited', 17), ('scared', 14), ('sad', 12)]"
12,frustrated,807,"['angry', 'upset', 'sad', 'annoyed']","[('angry', 49), ('upset', 24), ('sad', 22), ('annoyed', 21)]"
13,worried,706,"['scared', 'nervous', 'sad', 'anxious']","[('scared', 34), ('nervous', 20), ('sad', 16), ('anxious', 16)]"
14,satisfied,662,"['happy', 'content', 'proud', 'accomplished']","[('happy', 83), ('content', 20), ('proud', 16), ('accomplished', 11)]"
15,anxious,642,"['nervous', 'excited', 'scared', 'worried']","[('nervous', 39), ('excited', 22), ('scared', 20), ('worried', 16)]"
16,hopeful,634,"['excited', 'happy', 'determined', 'nervous']","[('excited', 30), ('happy', 26), ('determined', 22), ('nervous', 15)]"
17,determined,627,"['hopeful', 'excited', 'motivated', 'focused']","[('hopeful', 22), ('excited', 8), ('motivated', 7), ('focused', 5)]"
18,embarrassed,585,"['ashamed', 'sad', 'upset', 'angry']","[('ashamed', 24), ('sad', 22), ('upset', 20), ('angry', 11)]"
19,accomplished,498,"['proud', 'happy', 'satisfied', 'excited']","[('proud', 39), ('happy', 34), ('satisfied', 11), ('excited', 8)]"
20,grateful,458,"['happy', 'relieved', 'thankful', 'excited']","[('happy', 44), ('relieved', 15), ('thankful', 11), ('excited', 6)]"
