,emotion,freq,highly related,all related info
0,none,9892,[],[]
1,happy,4209,"['excited', 'proud', 'relieved', 'satisfied']","[('excited', 268), ('proud', 91), ('relieved', 77), ('satisfied', 69)]"
2,excited,2284,"['happy', 'nervous', 'proud', 'hopeful']","[('happy', 268), ('nervous', 58), ('proud', 32), ('hopeful', 23)]"
3,sad,1629,"['angry', 'disappointed', 'upset', 'scared']","[('angry', 73), ('disappointed', 55), ('upset', 40), ('scared', 25)]"
4,proud,1234,"['happy', 'accomplished', 'excited', 'confident']","[('happy', 91), ('accomplished', 38), ('excited', 32), ('confident', 15)]"
5,scared,967,"['nervous', 'worried', 'sad', 'angry']","[('nervous', 53), ('worried', 31), ('sad', 25), ('angry', 20)]"
6,angry,965,"['sad', 'upset', 'frustrated', 'disappointed']","[('sad', 73), ('upset', 47), ('frustrated', 41), ('disappointed', 33)]"
7,relieved,875,"['happy', 'excited', 'grateful', 'thankful']","[('happy', 77), ('excited', 15), ('grateful', 15), ('thankful', 13)]"
8,disappointed,855,"['sad', 'angry', 'upset', 'frustrated']","[('sad', 55), ('angry', 33), ('upset', 24), ('frustrated', 16)]"
9,nervous,835,"['excited', 'scared', 'anxious', 'worried']","[('excited', 58), ('scared', 53), ('anxious', 34), ('worried', 16)]"
10,annoyed,833,"['angry', 'frustrated', 'upset', 'disappointed']","[('angry', 29), ('frustrated', 20), ('upset', 15), ('disappointed', 15)]"
11,upset,768,"['angry', 'sad', 'disappointed', 'frustrated']","[('angry', 47), ('sad', 40), ('disappointed', 24), ('frustrated', 23)]"
12,surprised,746,"['happy', 'excited', 'scared', 'sad']","[('happy', 63), ('excited', 15), ('scared', 11), ('sad', 10)]"
13,frustrated,734,"['angry', 'upset', 'annoyed', 'disappointed']","[('angry', 41), ('upset', 23), ('annoyed', 20), ('disappointed', 16)]"
14,worried,653,"['scared', 'anxious', 'nervous', 'sad']","[('scared', 31), ('anxious', 16), ('nervous', 16), ('sad', 15)]"
15,satisfied,611,"['happy', 'content', 'proud', 'accomplished']","[('happy', 69), ('content', 19), ('proud', 13), ('accomplished', 11)]"
16,determined,589,"['hopeful', 'excited', 'motivated', 'focused']","[('hopeful', 20), ('excited', 8), ('motivated', 6), ('focused', 5)]"
17,anxious,578,"['nervous', 'excited', 'worried', 'scared']","[('nervous', 35), ('excited', 20), ('worried', 16), ('scared', 15)]"
18,hopeful,564,"['excited', 'happy', 'determined', 'nervous']","[('excited', 23), ('happy', 20), ('determined', 20), ('nervous', 14)]"
19,accomplished,463,"['proud', 'happy', 'satisfied', 'excited']","[('proud', 38), ('happy', 30), ('satisfied', 11), ('excited', 7)]"
20,grateful,432,"['happy', 'relieved', 'thankful', 'excited']","[('happy', 40), ('relieved', 15), ('thankful', 8), ('excited', 5)]"
21,content,387,"['happy', 'satisfied', 'relieved', 'proud']","[('happy', 51), ('satisfied', 19), ('relieved', 7), ('proud', 7)]"
22,anticipation,381,"['excited', 'joy', 'excitement', 'happiness']","[('excited', 11), ('joy', 7), ('excitement', 6), ('happiness', 5)]"
23,helpful,346,"['generous', 'happy', 'needed', 'useful']","[('generous', 5), ('happy', 5), ('needed', 4), ('useful', 3)]"
24,curious,312,"['excited', 'happy', 'interested', 'scared']","[('excited', 10), ('happy', 8), ('interested', 6), ('scared', 2)]"
25,afraid,312,"['sad', 'scared', 'worried', 'nervous']","[('sad', 7), ('scared', 4), ('worried', 3), ('nervous', 3)]"
26,tired,311,"['exhausted', 'frustrated', 'happy', 'bored']","[('exhausted', 14), ('frustrated', 8), ('happy', 7), ('bored', 5)]"
27,positive,306,"['special', 'unique', 'relieved', 'hopeful']","[('special', 1), ('unique', 1), ('relieved', 1), ('hopeful', 1)]"
28,confused,306,"['angry', 'frustrated', 'worried', 'happy']","[('angry', 6), ('frustrated', 5), ('worried', 4), ('happy', 4)]"
29,joy,295,"['happy', 'excited', 'happiness', 'anticipation']","[('happy', 17), ('excited', 13), ('happiness', 8), ('anticipation', 7)]"
30,hungry,289,"['excited', 'happy', 'tired', 'upset']","[('excited', 6), ('happy', 5), ('tired', 2), ('upset', 2)]"
31,ashamed,280,"['sad', 'embarrassed', 'scared', 'guilty']","[('sad', 13), ('embarrassed', 12), ('scared', 6), ('guilty', 5)]"
32,guilty,277,"['sad', 'scared', 'ashamed', 'regretful']","[('sad', 9), ('scared', 6), ('ashamed', 5), ('regretful', 5)]"
33,embarrassed,268,"['sad', 'ashamed', 'upset', 'relieved']","[('sad', 15), ('ashamed', 12), ('upset', 9), ('relieved', 7)]"
34,eager,267,"['excited', 'happy', 'hopeful', 'anxious']","[('excited', 11), ('happy', 10), ('hopeful', 4), ('anxious', 3)]"
35,Happy,260,"['Excited', 'Content', 'Joyful', 'Proud']","[('Excited', 25), ('Content', 9), ('Joyful', 7), ('Proud', 6)]"
36,shocked,260,"['angry', 'scared', 'upset', 'sad']","[('angry', 16), ('scared', 13), ('upset', 7), ('sad', 5)]"
37,relaxed,254,"['happy', 'content', 'relieved', 'excited']","[('happy', 23), ('content', 4), ('relieved', 3), ('excited', 3)]"
38,confident,251,"['proud', 'happy', 'nervous', 'accomplished']","[('proud', 15), ('happy', 11), ('nervous', 6), ('accomplished', 5)]"
39,loved,228,"['happy', 'excited', 'grateful', 'wanted']","[('happy', 28), ('excited', 6), ('grateful', 4), ('wanted', 2)]"
40,fear,212,"['sad', 'scared', 'disgust', 'sadness']","[('sad', 11), ('scared', 7), ('disgust', 3), ('sadness', 3)]"
41,embarassed,209,"['upset', 'stupid', 'angry', 'ashamed']","[('upset', 9), ('stupid', 4), ('angry', 4), ('ashamed', 4)]"
42,anger,202,"['sadness', 'frustration', 'sad', 'disgust']","[('sadness', 9), ('frustration', 7), ('sad', 7), ('disgust', 5)]"
43,disgusted,195,"['angry', 'upset', 'sad', 'scared']","[('angry', 6), ('upset', 6), ('sad', 4), ('scared', 4)]"
44,bored,194,"['tired', 'sad', 'lonely', 'happy']","[('tired', 5), ('sad', 5), ('lonely', 3), ('happy', 3)]"
45,amused,192,"['happy', 'surprised', 'embarrassed', 'confused']","[('happy', 4), ('surprised', 4), ('embarrassed', 2), ('confused', 2)]"
46,thankful,191,"['happy', 'relieved', 'grateful', 'excited']","[('happy', 28), ('relieved', 13), ('grateful', 8), ('excited', 4)]"
47,HAPPY,188,"['EXCITED', 'SATISFIED', 'CONTENT', 'SAD']","[('EXCITED', 6), ('SATISFIED', 3), ('CONTENT', 2), ('SAD', 2)]"
48,concerned,177,"['worried', 'sad', 'nervous', 'caring']","[('worried', 11), ('sad', 4), ('nervous', 4), ('caring', 3)]"
49,interested,172,"['excited', 'curious', 'calm', 'happy']","[('excited', 5), ('curious', 5), ('calm', 2), ('happy', 2)]"
50,exhausted,161,"['tired', 'happy', 'weary', 'sad']","[('tired', 14), ('happy', 2), ('weary', 2), ('sad', 2)]"
51,surprise,158,"['happy', 'fear', 'relief', 'shock']","[('happy', 5), ('fear', 3), ('relief', 2), ('shock', 1)]"
52,Excited,154,"['Happy', 'Nervous', 'Hopeful', 'Content']","[('Happy', 25), ('Nervous', 5), ('Hopeful', 4), ('Content', 3)]"
53,pleased,152,"['happy', 'excited', 'relieved', 'satisfied']","[('happy', 12), ('excited', 5), ('relieved', 5), ('satisfied', 3)]"
54,depressed,149,"['sad', 'lonely', 'lost', 'disappointed']","[('sad', 10), ('lonely', 4), ('lost', 3), ('disappointed', 3)]"
55,irritated,146,"['annoyed', 'frustrated', 'disappointed', 'angry']","[('annoyed', 10), ('frustrated', 6), ('disappointed', 4), ('angry', 4)]"
56,competent,143,"['Surprised', 'knowledegble', 'smart', 'satisfied']","[('Surprised', 1), ('knowledegble', 1), ('smart', 1), ('satisfied', 1)]"
57,elated,141,"['happy', 'excited', 'proud', 'surprised']","[('happy', 10), ('excited', 8), ('proud', 3), ('surprised', 3)]"
58,hurt,141,"['scared', 'sad', 'angry', 'upset']","[('scared', 8), ('sad', 7), ('angry', 6), ('upset', 5)]"
59,intrigued,140,"['happy', 'surprised', 'interested', 'entertained']","[('happy', 4), ('surprised', 2), ('interested', 1), ('entertained', 1)]"
60,mad,139,"['sad', 'upset', 'angry', 'frustrated']","[('sad', 11), ('upset', 10), ('angry', 10), ('frustrated', 5)]"
61,lucky,132,"['happy', 'proud', 'rich', 'blessed']","[('happy', 2), ('proud', 1), ('rich', 1), ('blessed', 1)]"
62,calm,132,"['happy', 'content', 'relaxed', 'confident']","[('happy', 10), ('content', 4), ('relaxed', 3), ('confident', 2)]"
63,lonely,128,"['sad', 'depressed', 'bored', 'hopeful']","[('sad', 23), ('depressed', 4), ('bored', 3), ('hopeful', 1)]"
64,sick,125,"['tired', 'horrible', 'scared', 'ill']","[('tired', 4), ('horrible', 2), ('scared', 2), ('ill', 1)]"
65,joyful,125,"['happy', 'excited', 'delight', 'playful']","[('happy', 14), ('excited', 10), ('delight', 1), ('playful', 1)]"
66,fearful,119,"['angry', 'worried', 'scared', 'anxious']","[('angry', 5), ('worried', 4), ('scared', 4), ('anxious', 4)]"
67,motivated,110,"['excited', 'happy', 'determined', 'hopeful']","[('excited', 8), ('happy', 7), ('determined', 6), ('hopeful', 3)]"
68,friendly,108,"['happy', 'content', 'helpful', 'agreeable']","[('happy', 4), ('content', 3), ('helpful', 2), ('agreeable', 1)]"
69,desire,108,"['love', 'happy', 'anticipation', 'loved']","[('love', 1), ('happy', 1), ('anticipation', 1), ('loved', 1)]"
70,loving,107,"['happy', 'grateful', 'lovable', 'protecting']","[('happy', 3), ('grateful', 2), ('lovable', 1), ('protecting', 1)]"
71,ecstatic,104,"['proud', 'happy', 'excited', 'energized']","[('proud', 8), ('happy', 2), ('excited', 2), ('energized', 2)]"
72,thrilled,104,"['excited', 'happy', 'proud', 'delighted']","[('excited', 10), ('happy', 5), ('proud', 2), ('delighted', 2)]"
73,productive,103,"['busy', 'accomplished', 'tired', 'pressured']","[('busy', 2), ('accomplished', 2), ('tired', 1), ('pressured', 1)]"
74,good,103,"['happy', 'proud', 'excited', 'ecstatic']","[('happy', 8), ('proud', 2), ('excited', 2), ('ecstatic', 1)]"
75,adventurous,102,"['excited', 'happy', 'eager', 'hopeful']","[('excited', 3), ('happy', 3), ('eager', 1), ('hopeful', 1)]"
76,stupid,100,"['embarassed', 'guilty', 'upset', 'angry']","[('embarassed', 4), ('guilty', 2), ('upset', 2), ('angry', 2)]"
77,overwhelmed,99,"['sad', 'frustrated', 'obliged', 'helpful']","[('sad', 2), ('frustrated', 1), ('obliged', 1), ('helpful', 1)]"
78,responsible,99,"['panic', 'preassured', 'overwhelmed', 'secured']","[('panic', 1), ('preassured', 1), ('overwhelmed', 1), ('secured', 1)]"
79,frightened,99,"['scared', 'surprised', 'worried', 'angry']","[('scared', 10), ('surprised', 4), ('worried', 3), ('angry', 2)]"
80,regretful,97,"['sad', 'guilty', 'disappointed', 'upset']","[('sad', 4), ('guilty', 4), ('disappointed', 3), ('upset', 2)]"
81,terrified,94,"['scared', 'ashamed', 'worried', 'concerned']","[('scared', 5), ('ashamed', 2), ('worried', 2), ('concerned', 2)]"
82,cautious,93,"['anxious', 'hesitant', 'embarassed', 'nervous']","[('anxious', 2), ('hesitant', 2), ('embarassed', 1), ('nervous', 1)]"
83,sadness,93,"['anger', 'fear', 'frustration', 'hurt']","[('anger', 8), ('fear', 3), ('frustration', 2), ('hurt', 2)]"
84,sorry,92,"['embarrassed', 'ashamed', 'scared', 'upset']","[('embarrassed', 3), ('ashamed', 2), ('scared', 2), ('upset', 1)]"
85,excitement,87,"['anticipation', 'joy', 'happiness', 'relief']","[('anticipation', 6), ('joy', 6), ('happiness', 5), ('relief', 1)]"
86,stressed,87,"['anxious', 'worried', 'upset', 'annoyed']","[('anxious', 6), ('worried', 4), ('upset', 3), ('annoyed', 3)]"
87,indifferent,86,"['understanding', 'unconcerned', 'excited', 'impatient']","[('understanding', 1), ('unconcerned', 1), ('excited', 1), ('impatient', 1)]"
88,pain,86,"['hurt', 'sad', 'hardship', 'sadness']","[('hurt', 3), ('sad', 2), ('hardship', 1), ('sadness', 1)]"
89,delighted,85,"['happy', 'excited', 'surprised', 'elated']","[('happy', 14), ('excited', 3), ('surprised', 3), ('elated', 3)]"
90,powerful,84,"['Grateful', 'Accomplished', 'happy', 'proud']","[('Grateful', 1), ('Accomplished', 1), ('happy', 1), ('proud', 1)]"
91,impatient,84,"['annoyed', 'angry', 'excited', 'bored']","[('annoyed', 6), ('angry', 5), ('excited', 3), ('bored', 3)]"
92,nostalgic,83,"['happy', 'embarassed', 'sad', 'scared']","[('happy', 5), ('embarassed', 1), ('sad', 1), ('scared', 1)]"
93,awkward,83,"['embarassed', 'out of place', 'normal', 'uncomfortable']","[('embarassed', 1), ('out of place', 1), ('normal', 1), ('uncomfortable', 1)]"
94,prepared,82,"['strong', 'happy', 'confident', 'optimistic']","[('strong', 3), ('happy', 3), ('confident', 1), ('optimistic', 1)]"
95,unhappy,80,"['upset', 'sad', 'frustrated', 'disappointed']","[('upset', 9), ('sad', 6), ('frustrated', 6), ('disappointed', 5)]"
96,Sad,80,"['Angry', 'Frustrated', 'Depressed', 'Defeated']","[('Angry', 6), ('Frustrated', 4), ('Depressed', 3), ('Defeated', 2)]"
97,glad,80,"['happy', 'excited', 'relieved', 'proud']","[('happy', 13), ('excited', 3), ('relieved', 2), ('proud', 2)]"
98,relief,77,"['happy', 'thankful', 'happiness', 'surprise']","[('happy', 8), ('thankful', 2), ('happiness', 2), ('surprise', 2)]"
99,Scared,76,"['Nervous', 'Anxious', 'Fearful', 'Sad']","[('Nervous', 8), ('Anxious', 4), ('Fearful', 3), ('Sad', 2)]"
100,fun,76,"['thankful', 'grateful', 'goofy', 'childish']","[('thankful', 1), ('grateful', 1), ('goofy', 1), ('childish', 1)]"
