,emotion,plutchik,selection0,selection1,label
0,"['rude', 'positive', 'Jenifer fell']","{'joy': 2, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 0, 'anticipation': 1}",She is on it during class instead of paying attention.,His wife convinced him to buy a cheap charcoal grill.,0
1,"['ambitious', 'desire', 'thoughtful']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Georgina Watson wanted to be an equestrian.,Tammy had a song stuck in her head.,0
2,['lucky'],"{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tom was luckily able to get it back.,He had tried and tried to ride a wave.,0
3,"['cautious', 'scared', 'happy']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Their house was empty so he hopped the fence to retrieve the ball.,Tim never spoke with Jim again.,0
4,"['excited', 'desire', 'hopeful', 'excitement']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The doctor was available to see me right away.,Wanda and Katie wanted to go the the mall.,1
5,"['sad', 'exhausted', 'determined', 'instructive', 'sadistic', 'domineering', 'powerful', 'responsible']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The blizzard hit and closed the school and roads.,Miguel spent all evening doing his homework.,1
6,"['chirpy', 'joyous', 'overjoyed', 'relaxed', 'fun', 'joy', 'happy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He approved of the rock for a skipping stone.,Dan and his wife Mary went on a week's vacation.,1
7,['curious'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",While Tim and Barry were outside they found a big empty box.,"She left it for a brief moment, in order to look at the snacks.",1
8,"['content', 'reassured', 'confident', 'concerned', 'concern', 'grateful', 'cautious', 'comfortable']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He is now a millionaire American Indian artist.,Mark now rides his skateboard with protection.,1
9,"['terrified', 'scared']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 2}",Anna ordered extra spicy chicken wings from her favorite pizzeria.,"Afraid for his life, he tried to run away.",1
10,"['accomplished', 'determined']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",It was nap time but there's no way he could sleep without it.,I rented a powerwash from a company.,1
11,"['relaxed', 'giddy', 'lazy']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Instead of staying in bed he played games the entire day.,Samantha was playing in the snow the night before.,0
12,"['concerned', 'suspicious', 'curious', 'offended', 'confuse', 'confused']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",He had an important game today.,"I asked my next door neighbor if it was hers, but she said no.",1
13,"['stupid', 'sad', 'angry', 'threatened', 'protective']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}","Later, Jim picked Michaela up for their date.","Alas, the dog bit me.",1
14,"['intrigued', 'curious', 'smart']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","He chased it down the street and around the corner, until he found it.","Soon, she got a bright idea.",1
15,"['prude', 'expectant', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","Georgina then got into motorcycles, to her father's dismay.",She was expecting to eat a nice dinner that night.,1
