,Unnamed: 0,story_id,first_sentence,second_sentence,third_sentence,fourth_sentence,fifth_sentence,label
0,0,138d5bfb-05cc-41e3-bf2c-fa85ebad14e2 , Rick grew up in a troubled household. ," He never found good support in family, and turned to gangs. ", It wasn't long before Rick got shot in a robbery. , The incident caused him to turn a new leaf. , He is happy now. ,1
1,1,bff9f820-9605-4875-b9af-fe6f14d04256 , Laverne needs to prepare something for her friend's party. , She decides to bake a batch of brownies. , She chooses a recipe and follows it closely. , Laverne tests one of the brownies to make sure it is delicious. , The brownies are so delicious Laverne eats two of them. ,1
2,2,f5226bfe-9f26-4377-b05f-3d9568dbdec1 , Gina was worried the cookie dough in the tube would be gross. , She was very happy to find she was wrong. , The cookies from the tube were as good as from scratch. , Gina intended to only eat 2 cookies and save the rest. , Gina liked the cookies so much she ate them all in one sitting. ,1
3,3,d80cabdd-7a85-47e3-86be-5ce6591ca51e , Jim found an old disposable camera in the bottom of his junk drawer. , He began snapping away at everything around him. , The counter clicked down to one final photo. , The gravity of the situation began to dawn on Jim. , Jim took time to decide what he would take a picture of. ,0
4,4,58090d3f-8a91-4c89-83ef-2b4994de9d24 , Ron started his new job as a landscaper today. , He loves the outdoors and has always enjoyed working in it. , His boss tells him to re-sod the front yard of the mayor's home. ," Ron is ecstatic, but does a thorough job and finishes super early. ", His boss commends him for a job well done. ,2
5,5,e17053ac-2046-48c8-a7a2-7b9509c10e64 , John and Billy became very skilled at beer pong. , They entered a contest in college. , They won the contest and advanced to the next level. , The next level sent them to Vegas. ," In Vegas, John and Billy competed against eighty contestants. ",1
6,6,69b26ae4-b778-4cd1-9f13-27d28fd4430e , Caroline was a student in medical school. , Caroline worked very hard to get good grades. , One day Caroline failed a test by one point. , Caroline was very frustrated but she continued to study hard. ," Later, she passed the test. ",2
7,7,caa0244b-9388-409e-b50a-5e305336e540 , Cara went to a food cart in Philadelphia the other day. , She stopped by an amazing falafel cart. , The food was amazing. , Cara couldn't believe how good it was. , Cara decided to eat at the food cart every week. ,2
8,8,a7905e16-15be-433f-bdef-b488a83e4582 , Tony was happy to be going on his first cruise. , He arrived at the docks and was ready with all his luggage. , When he walked around the corner he couldn't believe the size of it. , He boarded and the ship left the docks. , Tony enjoyed going on the cruise. ,2
9,9,0fe46de6-6ee3-4932-a578-268917372566 ," At school, Mary received an assignment to write an essay about pandas. "," Luckily, Mary loved pandas, as was excited to get started. "," As soon as she got home, Mary booted up her computer and began. ", She wrote about all she knew and researched a little too! , Mary couldn't wait to present her report. ,2
10,10,fa0d318c-d286-4c8e-adda-c2590f100f02 , Tiffany was getting overwhelmed at work. ," While she liked her job, she longed for a break. "," One day, she tripped outside on uneven pavement. ", She broke her ankle and had to be off work for a couple months. , She was in pain but happy to not have to go to work. ,1
11,11,8d9f72c4-7f31-4e86-8511-e921fd8f78bb , Alice was getting married in a few weeks. ," One night, her mother called and she forgot to call her back. ", Her mother left an angry message on her phone. , She threatened not to come to the wedding. , Alice called her mother and apologized profusely. ,2
12,12,384621a9-d9b6-436d-8914-61a93d916015 , Nya had been asked on a paintball trip with friends. , She was nervous about going. ," But she went anyways, hoping to have fun. ", She shot paintballs at her friends and laughed the whole time. , She loved it so much she planned a trip for the next week. ,1
13,13,1d14ed7d-5a05-476b-bfab-3e3568a0dd6b , I went on a blind date a few days ago. , She was cute and friendly. , We were set up through a co worker. , We seem to have some things in common. , Soon we were boyfriend and girlfriend and thinking of marriage. ,2
14,14,9f32f9ef-0b7b-461b-953f-3d7da39bac87 , Sammy's coffee grinder was broken. , He needed something to crush up his coffee beans. , He put his coffee beans in a plastic bag. , He tried crushing them with a hammer. , It worked for Sammy. ,2
15,15,411b9523-5254-41ff-b740-e039d0423201 , Joe grew a big batch of peas in his garden. , He brought the peas inside and shelled them all. , Then he cooked them up in a big pot. ," He added ham, bacon, and carrots to make thick pea soup. ", Joe thought about working in the garden as he ate the yummy soup. ,2
16,16,ad42188e-383b-4c7d-9cd9-906725b7ce12 , Bev had been studying very hard. , She couldn't wait for the weekend. ," When it came, she slept in very late. ", Then she got up and went out to party. ," By Sunday night, Bev was exhausted again. ",2
17,17,f8ff777f-de4d-4e3a-91bd-b197ed13f78e , We went to Frank Pepe's pizza shop three weeks ago. , The chain is quite famous in Connecticut. , The chain recently opened in Boston. , We went early to beat the crowd. , We had a great pizza at Frank Pepe's pizza shop. ,0
18,18,dfdf2b81-86fa-48f0-8a47-488ccf3e086b , Bernice always wanted to travel to Africa. , Bernice decided she would take a trip for her birthday next year. , Bernice started to look at the price of airline tickets for the trip. ," In addition, Bernice looked up the price of hotels as well. ", Bernice decided to get an airplane ticket and reserve a room. ,1
19,19,195a43c7-d43e-48e4-845b-fd6c75609df2 , I decided to go on a bike ride with my brother. , We both headed out in the morning. , We were having a lot of fun. ," Suddenly, he hit a rock and broke his wheel! ", I felt very badly for my brother. ,1
20,20,a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38 , Anna went to the salon. , She was getting her nails done for the first time. ," She was nervous, but the tech was friendly. ", He did her nails quickly and expertly. , Anna felt very fashionable when she left the salon. ,2
21,21,0a5489f1-beea-4ad6-a6d5-380ba2abd184 , AJ and his mom were at the grocery store. , Aj was looking at a cereal box and when he looked up his mom was gone. , He immediately started to feel panic. , Then his mom stepped out from behind a display of soup. , AJ let out a sigh of relief. ,1
22,22,696b9d6a-40a4-434d-8a01-aec20c4400a3 , Donald was kind of the class clown. , He wanted to be class president. , So he figured if he acted like an idiot people would vote for him. , He would get up and just yell and be foolish. , Donald hoped this foolishness won him the election. ,2
23,23,16eeb330-b579-4a0f-a1e6-0b7aad454c54 , Eddie and Angela hadn't been talking to each other for a long time. , They lived in their house together like strangers. ," Finally, they sat down and agreed, it was time for a divorce. ", Eddie went to the courthouse and filed the paperwork. , They were divorced a few months later. ,2
24,24,87678fdf-ad4e-4ff0-93d0-039fa451b49b , Jim is a new driver and has never been pulled over before. , Yesterday he was pulled over for speeding. , The officer explained to him why he was being given a ticket. , Jim will have to work overtime to pay for the ticket. , Jim is very upset. ,2
25,25,3ef66340-b2fd-4c12-bc1c-b28730b571a1 , David was an author that had trouble finding inspiration for his work. , One day he had a dream of him being in a post apocalyptic world. , He thought that this was destiny and began to write his thoughts. , Eventually he had hundreds of pages written. , David then had his manuscript published. ,1
26,26,0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3 , A police officer came down with the flu today. , He was unable to go into work as he could barely get out of bed. , His wife spent time taking care of him and making sure he was okay. , He made sure to drink enough and eat enough. , The police officer eventually got better. ,1
27,27,e829b3e7-8fec-4a34-a150-96381f7f0073 , Jeremiah is looking for a part time job that can help him earn money. , A sandwich shop employs him to give out flyers about their sandwiches. ," Jeremiah loves the job at first, because he likes meeting new people. ", Eventually he finds it tiresome to be outside so much. , Jeremiah reconsiders career paths. ,2
28,28,127daf23-f8a3-45af-94c4-f94e72710727 , Two young women decided to go for a ten mile run near the AFB. ," Five miles into the run, they spotted a lone grey wolf with blue eyes. "," They tried to scare it away, but it kept moving toward them. ", The two women clambered up a tree and waited until other people came. , The people chased the wolf away and the two women were fine. ,1
29,29,67cf2fb0-431a-404d-9c9f-826dd2d3472b , Amber had a lot of things to do this Sunday. , She made a list of all the places she needed to go. , She hurried to get ready. , She was worried that she would not have enough time. , Amber was so hurried she left the list at home. ,3
30,30,7c183d9b-d1fd-414f-8c95-c17132422732 , Jason was terrified of spiders. , He went to a therapist and discussed his fear. , His therapist said he should confront his fear to overcome it. , Jason's homework was to look for a spider in his basement. , He found a very large spider there. ,2
31,31,0f797de2-3d82-46d1-a370-c278a36ad785 , Megan has been struggling with a drug habit for years. , She hit rock bottom when she lost her family and kids. , Her distant family decided to stage an intervention. ," After the event, she got into a rehab facility. ", She was able to get off drugs after some time. ,2
