,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
0,I began making fish curry for my boyfriend and I.,1,1,0,0,0,0,0,1
1,I decided not to read a recipe since I've made so many in my life.,1,1,0,0,0,0,0,1
2,I let the curry sit before tasting.,0,0,1,1,0,1,1,0
3,"When it was time to taste, I was disgusted.",0,0,0,1,1,1,1,0
4,Jervis has been single for a long time.,1,0,0,0,1,0,0,1
5,He wants to have a girlfriend.,1,0,0,1,0,0,0,1
6,One day he meets a nice girl at the grocery store.,1,1,0,0,0,0,0,0
7,They begin to date.,1,0,0,0,0,0,0,0
8,Ray couldn't get an irritating tune out of his head.,0,0,0,0,0,0,1,0
9,"He tried to distract himself, but the melody kept repeating itself.",1,1,1,1,1,1,1,1
10,"That night, he turned the radio on and got into bed to go to sleep.",1,0,0,0,0,0,1,0
11,The radio played song after song all night long as Ray slumbered.,1,0,0,1,0,0,0,0
12,Ferdinand had a talent no one could deny.,1,0,0,0,0,0,0,0
13,He was the best barista in the whole town.,1,1,0,1,0,0,0,1
14,People would line up and wait hours for his creations.,1,1,0,0,0,0,0,1
15,Everyone wanted the Ferdinand touch.,1,1,0,0,0,0,0,1
16,Danielle was really short on money.,0,0,1,0,1,0,1,1
17,She was trying to come up with extra money.,1,1,0,1,0,0,0,1
18,Someone suggested a garage sale.,1,1,0,1,0,0,0,1
19,She decided that was a great idea.,1,1,0,1,0,0,0,1
20,Manuel was having a difficult time paying his rent.,0,0,1,0,1,1,0,1
21,He knew that he would be evicted if he didn't figure something out.,1,0,1,1,1,0,0,1
22,He then remembered that his friend was looking for a house.,1,1,1,0,0,0,0,1
23,Manuel asked him to move in and be his roommate.,1,1,0,0,0,0,0,1
24,Kija has been researching methods of healthy eating.,1,0,0,0,0,0,0,1
25,She finally settles on a meal replacement drink to start.,1,0,0,1,0,0,0,0
26,She orders a crate of soylent and is excited when it arrives.,0,0,1,1,1,1,1,1
27,"Unfortunately, one swig of the drink makes her mouth itch and swell.",1,0,1,1,1,0,0,0
28,Billy noticed he had trouble reading the chalkboard in class.,1,0,0,1,0,0,0,1
29,He moved towards the front and he could read it perfectly.,0,1,1,0,0,0,0,1
30,He then visited an eye doctor to ask about this.,0,0,1,1,0,0,0,0
31,The doctor diagnosed him with myopia or nearsightedness.,1,1,0,1,0,0,0,0
32,Tom would gather them up and take them to recycle.,1,0,0,0,0,0,0,0
33,Yoshio was 31 years old and played modern video games.,1,0,0,0,0,0,0,1
34,One day he had a hankering to play the old classic Nintendo.,1,1,0,0,0,0,0,1
35,"He figured it was so old, it'd be sold online for very little money.",1,1,1,1,1,1,1,1
36,But Yoshio was very wrong-the console was insanely expensive!,1,1,0,1,0,0,0,1
37,Gina returned to her desk from the bathroom.,1,0,0,1,0,0,0,0
38,"She saw her friends Mary, and Rita talking to each other.",0,0,1,1,1,1,1,1
39,Gina knew they had been talking about her.,0,1,1,1,1,1,1,1
40,My parents got new jobs.,1,1,0,0,1,0,0,1
41,We packed our stuff in boxes.,0,0,1,1,1,0,0,1
42,He jumped around for the kids to entice them.,1,1,0,1,0,0,0,1
43,One child saw this action and was drawn into the monkey.,1,1,0,0,0,0,0,1
44,The kid felt like he should reward the monkey for the entertainment.,1,1,0,0,0,0,0,1
45,He called the Dog Whisperer Cesar Millan to sort out their problems.,0,1,0,1,1,0,0,0
46,Caesar said Vincent was the problem.,0,1,1,1,0,1,1,1
47,He had Vincent assert his dominance.,1,1,0,0,0,0,0,1
48,A boy pick up a rock at the beach.,0,0,0,0,0,0,0,1
49,He felt the texture and inspected it for smoothness.,1,1,0,0,0,0,0,1
50,He approved of the rock for a skipping stone.,1,0,0,0,0,0,0,1
51,The boy brought his arm back and waited for calm water.,1,0,0,1,0,0,0,0
52,The girl giggled as it popped open against the fridge.,1,0,0,1,0,0,0,1
53,She touched the magnet gently against the metal.,1,0,0,1,0,0,0,0
54,My foot has been itching badly since I got that mosquito bite.,0,0,0,0,0,1,1,0
55,I have been scratching the bite all day long since I got it.,1,0,0,0,0,1,1,0
56,The mosquito bit me on the bottom of my foot.,1,1,0,1,0,1,1,1
57,The ointment I put on it didn't really help much.,0,0,1,0,1,1,1,1
58,Margaret couldn't afford her regular eye makeup anymore.,0,0,0,0,1,1,1,0
59,So she went to the store for free samples.,0,0,0,0,1,1,0,0
60,She used the samples until they ran out.,1,1,0,1,0,0,0,1
61,Turns out she liked one of them.,1,1,0,1,1,1,1,1
62,I was very excited to go downtown to do some shopping.,0,0,0,1,1,0,1,0
63,I looked out the window and saw it was raining very heavily.,0,0,0,0,1,0,0,0
64,I became very sad.,0,0,0,0,1,0,0,0
65,The Sharks goalie was hurt and couldn't play.,1,0,1,0,1,1,1,1
66,James was asked to fill in.,1,1,0,1,0,0,0,1
67,Everyone cheered him on.,1,0,0,1,0,0,0,0
68,This Sunday I decided to try a new place.,1,1,0,0,0,0,0,1
69,I ate a whole pizza to myself.,1,0,0,0,0,0,0,0
70,I felt very full but satisfied.,1,1,0,1,0,0,0,1
71,He needed a good pair of jeans at the Mall.,1,1,0,1,0,0,0,1
72,After buying his jeans he walks by an animal shop and sees a dog.,1,1,0,1,0,0,0,1
73,Shawn falls in love with the dog at the store.,1,1,0,0,0,0,0,1
74,A man was on a flight back home to his wife.,0,0,0,1,1,0,1,1
75,When suddenly the flight was canceled due to bad weather.,0,0,1,1,1,1,1,0
76,"He was stuck on the tarmac, and his wife called.",0,0,0,1,1,1,1,0
77,She was furious that he was late.,0,0,0,1,1,1,1,0
78,Joe hates to cut his hair.,0,0,1,0,1,1,0,0
79,His hair is so long he can't see.,0,0,1,1,1,1,1,0
80,Joe wrecked his bike because he couldn't see.,0,0,0,0,1,0,0,0
81,He decided he had to get his hair cut.,1,0,1,0,1,0,0,1
82,He wasn't paying any attention to where he was going.,0,0,0,1,0,0,1,0
83,His head was down and he mindlessly walked into a tree.,0,0,1,0,0,0,0,1
84,"His phone fell from his hands landing face down, he hoped it was ok.",0,0,0,0,1,1,1,0
85,Matt walked on to the bus looked for a seat.,1,0,0,1,1,0,1,0
86,He could not find any open seat so he stood.,1,1,0,1,0,1,1,1
87,A person offered his seat to Matt if he gave him $20.,0,0,0,1,1,1,1,0
88,Matt told the person that he was being unfair.,0,0,0,0,0,1,1,0
89,Jennifer visited Florida with her grandparents.,1,0,0,1,0,0,0,0
